frame_idx,track_id,cls_id,conf,x1,y1,x2,y2
1,1,2,0.7193,1566,162,1808,273
1,2,2,0.6952,2145,721,2503,894
1,3,2,0.6840,2249,939,2560,1141
1,4,2,0.4981,2440,1223,2559,1414
1,5,2,0.4808,802,108,1061,215
1,6,2,0.4392,1085,684,1448,826
1,7,2,0.3920,1489,100,1689,191
1,8,2,0.3890,1030,523,1354,719
2,1,2,0.7160,1565,170,1810,279
2,2,2,0.7187,2153,731,2514,912
2,3,2,0.7874,2255,954,2559,1155
2,4,2,0.4710,2446,1241,2558,1435
2,5,2,0.6177,800,115,1054,224
2,6,2,0.4038,1083,697,1450,853
2,7,2,0.3920,1489,100,1689,191
2,8,2,0.3890,1030,523,1354,719
2,9,2,0.5032,1929,465,2208,615
2,10,2,0.4293,738,22,964,112
3,1,2,0.6931,1564,172,1814,286
3,2,2,0.6138,2156,746,2517,925
3,3,2,0.6890,2260,968,2560,1175
3,4,2,0.4710,2446,1241,2558,1435
3,5,2,0.5718,794,117,1057,226
3,6,2,0.4038,1083,697,1450,853
3,7,2,0.3920,1489,100,1689,191
3,8,2,0.3890,1030,523,1354,719
3,9,2,0.5194,1935,471,2213,624
3,10,2,0.4479,734,25,968,115
4,1,2,0.6420,1563,179,1814,292
4,2,2,0.5591,2168,760,2528,940
4,3,2,0.3635,2267,979,2560,1193
4,4,2,0.4710,2446,1241,2558,1435
4,5,2,0.6967,796,119,1064,231
4,6,2,0.3843,1079,718,1451,873
4,7,2,0.3920,1489,100,1689,191
4,8,2,0.4533,1023,554,1352,750
4,9,2,0.5194,1935,471,2213,624
4,10,2,0.6436,728,28,964,120
5,1,2,0.7986,1567,188,1817,299
5,2,2,0.7258,2171,770,2533,952
5,3,2,0.3504,2272,996,2558,1213
5,4,2,0.4710,2446,1241,2558,1435
5,5,2,0.7012,795,129,1059,236
5,6,2,0.4004,1079,732,1450,885
5,7,2,0.3920,1489,100,1689,191
5,8,2,0.4576,1021,563,1355,768
5,9,2,0.3729,1945,493,2213,638
5,10,2,0.6399,726,28,963,125
6,1,2,0.6867,1569,187,1816,307
6,2,2,0.6368,2176,779,2550,970
6,3,2,0.4734,2281,1009,2558,1230
6,4,2,0.4710,2446,1241,2558,1435
6,5,2,0.5822,792,134,1053,242
6,6,2,0.4004,1079,732,1450,885
6,7,2,0.7161,1488,120,1700,220
6,8,2,0.3758,1022,587,1353,776
6,9,2,0.3729,1945,493,2213,638
6,10,2,0.3744,723,33,957,128
7,1,2,0.7053,1570,196,1820,314
7,2,2,0.5885,2185,797,2550,980
7,3,2,0.5287,2286,1031,2560,1249
7,4,2,0.4710,2446,1241,2558,1435
7,5,2,0.6148,788,141,1053,251
7,6,2,0.4734,1079,754,1450,916
7,7,2,0.7161,1488,120,1700,220
7,8,2,0.4339,1019,579,1350,790
7,9,2,0.3930,1947,510,2232,656
7,10,2,0.3710,721,36,951,132
8,1,2,0.7589,1570,205,1826,317
8,2,2,0.5173,2188,810,2553,996
8,3,2,0.4286,2297,1044,2558,1266
8,4,2,0.4710,2446,1241,2558,1435
8,5,2,0.6446,785,147,1045,254
8,6,2,0.6486,1076,763,1451,927
8,7,2,0.5555,1489,132,1701,233
8,8,2,0.4533,1017,591,1352,800
8,9,2,0.3930,1947,510,2232,656
8,10,2,0.4904,719,40,951,138
9,1,2,0.8133,1568,205,1826,325
9,2,2,0.5581,2195,822,2551,1013
9,3,2,0.3732,2302,1065,2558,1285
9,4,2,0.4710,2446,1241,2558,1435
9,5,2,0.6059,781,150,1046,261
9,6,2,0.6767,1073,779,1452,945
9,7,2,0.5570,1489,133,1706,238
9,8,2,0.5214,1012,606,1351,810
9,9,2,0.3930,1947,510,2232,656
9,10,2,0.4917,720,44,952,145
10,1,2,0.8356,1571,214,1826,331
10,2,2,0.6413,2201,838,2556,1023
10,3,2,0.3732,2302,1065,2558,1285
10,4,2,0.4710,2446,1241,2558,1435
10,5,2,0.3662,779,156,1044,270
10,6,2,0.5711,1073,791,1451,950
10,7,2,0.3709,1488,141,1704,241
10,8,2,0.5463,1011,612,1349,828
10,9,2,0.6711,1957,536,2243,692
10,10,2,0.4917,720,44,952,145
11,1,2,0.8208,1571,219,1831,338
11,2,2,0.4611,2204,848,2558,1043
11,3,2,0.3732,2302,1065,2558,1285
11,4,2,0.4710,2446,1241,2558,1435
11,5,2,0.5487,769,161,1043,274
11,6,2,0.6839,1069,805,1454,972
11,7,2,0.3998,1490,144,1704,249
11,8,2,0.5643,1012,625,1349,838
11,9,2,0.5652,1963,547,2243,699
11,10,2,0.4917,720,44,952,145
12,1,2,0.7451,1571,222,1829,345
12,2,2,0.4886,2210,862,2558,1058
12,3,2,0.3732,2302,1065,2558,1285
12,4,2,0.4710,2446,1241,2558,1435
12,5,2,0.3675,769,167,1044,282
12,6,2,0.7307,1067,818,1453,985
12,7,2,0.5861,1493,155,1708,254
12,8,2,0.5439,1007,639,1353,849
12,9,2,0.4441,1966,561,2249,713
12,10,2,0.4917,720,44,952,145
13,1,2,0.5550,1573,233,1828,350
13,2,2,0.4440,2217,876,2559,1077
13,3,2,0.4328,2328,1143,2558,1366
13,4,2,0.4710,2446,1241,2558,1435
13,5,2,0.6368,764,177,1036,288
13,6,2,0.6771,1061,827,1456,999
13,7,2,0.5861,1493,155,1708,254
13,8,2,0.5381,1004,654,1348,861
13,9,2,0.5150,1971,566,2254,730
13,10,2,0.4917,720,44,952,145
13,11,2,0.4490,1974,509,2135,610
14,1,2,0.8147,1577,237,1836,358
14,2,2,0.6497,2225,894,2558,1091
14,3,2,0.4328,2328,1143,2558,1366
14,4,2,0.4710,2446,1241,2558,1435
14,5,2,0.6782,760,180,1041,294
14,6,2,0.6746,1055,844,1454,1013
14,7,2,0.5861,1493,155,1708,254
14,8,2,0.5384,1000,665,1350,875
14,9,2,0.6691,1973,584,2260,741
14,10,2,0.4917,720,44,952,145
14,11,2,0.4490,1974,509,2135,610
15,1,2,0.8836,1573,240,1840,366
15,2,2,0.6174,2232,907,2558,1107
15,3,2,0.5659,2344,1176,2558,1404
15,4,2,0.4710,2446,1241,2558,1435
15,5,2,0.7375,755,183,1040,301
15,6,2,0.5697,1063,858,1454,1026
15,7,2,0.4832,1492,171,1712,273
15,8,2,0.5707,997,669,1352,893
15,9,2,0.5939,1976,593,2266,750
15,10,2,0.4917,720,44,952,145
15,11,2,0.4490,1974,509,2135,610
15,12,2,0.3941,647,1,876,74
16,1,2,0.7684,1577,241,1842,376
16,2,2,0.7049,2243,922,2559,1124
16,3,2,0.5377,2354,1203,2558,1422
16,4,2,0.4710,2446,1241,2558,1435
16,5,2,0.6895,756,189,1041,308
16,6,2,0.5787,1049,874,1452,1047
16,7,2,0.5856,1493,178,1720,280
16,8,2,0.5567,992,682,1348,905
16,9,2,0.6870,1979,597,2276,765
16,10,2,0.4875,689,80,942,183
16,11,2,0.4490,1974,509,2135,610
16,12,2,0.5116,644,0,872,78
17,1,2,0.7946,1576,251,1843,381
17,2,2,0.5207,2243,938,2558,1144
17,3,2,0.4279,2359,1218,2558,1438
17,4,2,0.4710,2446,1241,2558,1435
17,5,2,0.4685,756,202,1037,314
17,6,2,0.6367,1048,885,1455,1064
17,7,2,0.7615,1493,181,1713,285
17,8,2,0.5679,990,698,1351,920
17,9,2,0.5876,1987,614,2276,775
17,10,2,0.3620,688,85,947,189
17,11,2,0.4490,1974,509,2135,610
17,12,2,0.5116,644,0,872,78
18,1,2,0.7655,1579,259,1845,388
18,2,2,0.6713,2247,957,2558,1157
18,3,2,0.5998,2368,1235,2558,1436
18,4,2,0.4710,2446,1241,2558,1435
18,5,2,0.3927,754,206,1034,317
18,6,2,0.4396,1047,901,1457,1076
18,7,2,0.6616,1493,187,1714,292
18,8,2,0.5679,990,698,1351,920
18,9,2,0.4861,1990,619,2287,788
18,10,2,0.3620,688,85,947,189
18,11,2,0.4490,1974,509,2135,610
18,12,2,0.4306,633,0,865,89
19,1,2,0.8423,1579,265,1844,397
19,2,2,0.4654,2257,971,2558,1178
19,3,2,0.4089,2375,1248,2558,1437
19,4,2,0.4710,2446,1241,2558,1435
19,5,2,0.6309,753,212,1031,325
19,6,2,0.7450,1042,916,1459,1090
19,7,2,0.6300,1496,192,1715,301
19,8,2,0.4671,981,720,1348,951
19,9,2,0.4450,1992,630,2291,799
19,10,2,0.3620,688,85,947,189
19,11,2,0.4490,1974,509,2135,610
19,12,2,0.5212,633,0,868,94
20,1,2,0.7178,1575,266,1850,405
20,2,2,0.5026,2263,990,2558,1197
20,3,2,0.4089,2375,1248,2558,1437
20,4,2,0.4710,2446,1241,2558,1435
20,5,2,0.8057,752,215,1033,331
20,6,2,0.4473,1042,931,1457,1117
20,7,2,0.5928,1496,198,1719,305
20,8,2,0.6764,984,733,1348,967
20,9,2,0.4047,1996,646,2298,808
20,10,2,0.3620,688,85,947,189
20,11,2,0.4490,1974,509,2135,610
20,12,2,0.5724,630,0,866,98
21,1,2,0.6977,1576,275,1852,409
21,2,2,0.5026,2263,990,2558,1197
21,3,2,0.4089,2375,1248,2558,1437
21,4,2,0.4710,2446,1241,2558,1435
21,5,2,0.8084,750,222,1028,341
21,6,2,0.5951,1039,949,1459,1136
21,7,2,0.4900,1504,209,1727,313
21,8,2,0.6032,981,742,1347,982
21,9,2,0.4217,2002,656,2307,828
21,10,2,0.3839,678,105,934,215
21,11,2,0.4490,1974,509,2135,610
21,12,2,0.6570,625,0,863,105
22,1,2,0.6443,1582,287,1853,418
22,2,2,0.5174,2277,1022,2559,1235
22,3,2,0.4089,2375,1248,2558,1437
22,4,2,0.4710,2446,1241,2558,1435
22,5,2,0.5441,742,227,1033,350
22,6,2,0.5076,1037,963,1463,1148
22,7,2,0.5785,1500,211,1729,316
22,8,2,0.5104,973,758,1348,997
22,9,2,0.5167,2010,671,2307,837
22,10,2,0.3839,678,105,934,215
22,11,2,0.4490,1974,509,2135,610
22,12,2,0.5095,612,0,862,106
23,1,2,0.6685,1582,292,1853,426
23,2,2,0.4664,2282,1037,2558,1257
23,3,2,0.4089,2375,1248,2558,1437
